TITLE: YKP Investor V1
H1: Capital Movements

YKP Investor

owner · owner

Dashboard
Portfolio
Capital
Dividend
Returns
Telegram
Admin
Logout
Capital Movements

Kapital masuk/keluar per investor. Owner only untuk input.

+ Catat Capital
Date	Investor	Type	Amount	Method	Ref
2026-07-12	CV Nusantara Ventures	OUT	240.000.000	transfer	TRX-20260712-0002
2026-07-12	Joko Prasetyo	OUT	148.000.000	equity_conversion	TRX-20260712-0003
2026-07-12	Sari Capital Partners	OUT	69.000.000	giro	TRX-20260712-0004
2026-06-12	Andi Wijaya	OUT	124.000.000	cash	TRX-20260612-0005
2026-06-12	Family Office Pratama	OUT	206.000.000	transfer	TRX-20260612-0006
2026-06-12	Joko Prasetyo	OUT	62.000.000	giro	TRX-20260612-0007
2026-05-13	YKP Owner	OUT	111.000.000	cash	TRX-20260513-0008
2026-05-13	Seed Fund Asia	OUT	21.000.000	giro	TRX-20260513-0009
2026-04-13	Andi Wijaya	OUT	96.000.000	giro	TRX-20260413-0010
2026-04-13	Seed Fund Asia	OUT	201.000.000	equity_conversion	TRX-20260413-0011
2026-03-14	PT Modal Maju	OUT	162.000.000	transfer	TRX-20260314-0012
2026-03-14	Maya Putri	OUT	206.000.000	equity_conversion	TRX-20260314-0013
2026-02-12	YKP Owner	OUT	111.000.000	cash	TRX-20260212-0014
2026-02-12	Maya Putri	OUT	136.000.000	cash	TRX-20260212-0015
2026-02-12	PT Investasi Bahari	OUT	142.000.000	cash	TRX-20260212-0016
2026-02-12	CV Nusantara Ventures	OUT	222.000.000	giro	TRX-20260212-0017
2026-01-13	Family Office Pratama	OUT	148.000.000	giro	TRX-20260113-0018
2026-01-13	Seed Fund Asia	OUT	160.000.000	equity_conversion	TRX-20260113-0019
2025-12-14	Andi Wijaya	OUT	95.000.000	giro	TRX-20251214-0020
2025-12-14	Sari Capital Partners	OUT	119.000.000	equity_conversion	TRX-20251214-0021
2025-12-14	Andi Wijaya	OUT	153.000.000	giro	TRX-20251214-0022
2025-11-14	Andi Wijaya	OUT	111.000.000	transfer	TRX-20251114-0023
2025-11-14	PT Investasi Bahari	OUT	132.000.000	equity_conversion	TRX-20251114-0024
2025-11-14	Andi Wijaya	OUT	172.000.000	giro	TRX-20251114-0025
2025-11-14	PT Modal Maju	OUT	197.000.000	cash	TRX-20251114-0026
2025-10-15	PT Investasi Bahari	OUT	174.000.000	equity_conversion	TRX-20251015-0027
2025-10-15	PT Investasi Bahari	OUT	136.000.000	equity_conversion	TRX-20251015-0028
2025-10-15	Andi Wijaya	OUT	208.000.000	cash	TRX-20251015-0029
2025-10-15	Andi Wijaya	OUT	66.000.000	transfer	TRX-20251015-0030
2025-09-15	Andi Wijaya	OUT	244.000.000	transfer	TRX-20250915-0031
2025-09-15	Sari Capital Partners	OUT	170.000.000	equity_conversion	TRX-20250915-0032
2025-09-15	Sari Capital Partners	OUT	130.000.000	cash	TRX-20250915-0033
2025-08-16	Andi Wijaya	OUT	23.000.000	cash	TRX-20250816-0034
2025-08-16	PT Investasi Bahari	OUT	190.000.000	transfer	TRX-20250816-0035
2025-08-16	Joko Prasetyo	OUT	65.000.000	cash	TRX-20250816-0036
2025-07-17	Sari Capital Partners	OUT	156.000.000	giro	TRX-20250717-0037
2025-07-17	Family Office Pratama	OUT	236.000.000	cash	TRX-20250717-0038
2025-07-17	Sari Capital Partners	OUT	171.000.000	transfer	TRX-20250717-0039
2025-07-17	YKP Owner	OUT	96.000.000	cash	TRX-20250717-0040
2025-06-17	Joko Prasetyo	OUT	207.000.000	equity_conve
