TITLE: YKP Investor V1
H1: Dividend

YKP Investor

owner · owner

Dashboard
Portfolio
Capital
Dividend
Returns
Telegram
Admin
Logout
Dividend

Deklarasi & pembayaran dividen. Owner only untuk input.

+ Declare Dividend
Period	Investor	Amount	Status	Declared	Paid
2025-Q1-BR-001	YKP Owner	129.264.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-001	PT Modal Maju	77.721.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-001	Andi Wijaya	23.672.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-001	Sari Capital Partners	29.708.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-001	Budi Santoso	11.464.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-002	YKP Owner	55.342.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-002	CV Nusantara Ventures	77.388.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-002	PT Modal Maju	20.421.000	DECLARED	2026-07-05	-
2025-Q1-BR-002	Rina Kusuma	27.029.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-003	YKP Owner	96.464.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-003	Family Office Pratama	37.827.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-003	Joko Prasetyo	38.817.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-004	YKP Owner	40.001.000	DECLARED	2026-07-05	-
2025-Q1-BR-004	PT Investasi Bahari	30.696.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-004	Maya Putri	11.444.000	DECLARED	2026-07-05	-
2025-Q1-BR-004	Seed Fund Asia	15.360.000	DECLARED	2026-07-05	-
2025-Q1-BR-005	YKP Owner	15.953.000	PAID	2026-07-05	2026-07-15
2025-Q1-BR-005	Sari Capital Partners	12.474.000	DECLARED	2026-07-05	-
2025-Q1-BR-005	CV Nusantara Ventures	11.886.000	PAID	2026-07-05	2026-07-15
2025-Q2-BR-001	YKP Owner	171.705.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-001	PT Modal Maju	25.837.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-001	Andi Wijaya	10.544.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-001	Sari Capital Partners	28.641.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-001	Budi Santoso	6.109.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-002	YKP Owner	49.381.000	DECLARED	2026-05-21	-
2025-Q2-BR-002	CV Nusantara Ventures	59.035.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-002	PT Modal Maju	43.770.000	DECLARED	2026-05-21	-
2025-Q2-BR-002	Rina Kusuma	25.798.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-003	YKP Owner	77.925.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-003	Family Office Pratama	50.899.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-003	Joko Prasetyo	17.638.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-004	YKP Owner	46.119.000	DECLARED	2026-05-21	-
2025-Q2-BR-004	PT Investasi Bahari	37.580.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-004	Maya Putri	17.709.000	DECLARED	2026-05-21	-
2025-Q2-BR-004	Seed Fund Asia	5.286.000	DECLARED	2026-05-21	-
2025-Q2-BR-005	YKP Owner	22.033.000	DECLARED	2026-05-21	-
2025-Q2-BR-005	Sari Capital Partners	14.752.000	PAID	2026-05-21	2026-05-31
2025-Q2-BR-005	CV Nusantara Ventures	7.729.000	DECLARED	2026-05-21	-
2025-Q3-BR-001	YKP Owner	138.129.000	PAID	2026-04-06	2026-04-16
2025-Q3-BR-001	PT Modal Maju	64.784.000	PAID	2026-04-06	2026-04-16
2025-Q3-BR-001	Andi Wijaya	27.107.000	PAID	2026-04-06	2026-04-16
2025-Q3-BR-001	Sari Capital Partners	16.974.000	PAID	20
